클래스,파일명,예측_라벨,예측_클래스,신뢰도,정확_여부
Western Corn Rootworms,Image_92.png,a photo of egg Corn Borers,Corn Borers,0.33984375,오류
Western Corn Rootworms,Image_93.jpg,a photo of pupa Corn Earworms,Corn Earworms,0.126953125,오류
Western Corn Rootworms,Image_94.jpg,a photo of egg Corn Borers,Corn Borers,0.259765625,오류
Western Corn Rootworms,Image_95.jpg,a photo of larva Cabbage Loopers,Cabbage Loopers,0.43359375,오류
Western Corn Rootworms,Image_96.jpg,a photo of pupa Corn Earworms,Corn Earworms,0.10498046875,오류
Western Corn Rootworms,Image_97.jpg,a photo of adult Armyworms,Armyworms,0.240234375,오류
Western Corn Rootworms,Image_107.jpg,a photo of larva Corn Borers,Corn Borers,0.09521484375,오류
Western Corn Rootworms,Image_109.jpg,a photo of adult Fall Armyworms,Fall Armyworms,0.2021484375,오류
Western Corn Rootworms,Image_110.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.12890625,정확
Western Corn Rootworms,Image_111.jpg,a photo of egg Corn Borers,Corn Borers,0.3046875,오류
Western Corn Rootworms,Image_114.jpg,a photo of larva Western Corn Rootworms,Western Corn Rootworms,0.12890625,정확
Western Corn Rootworms,Image_115.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.1865234375,정확
Western Corn Rootworms,Image_116.jpg,a photo of egg Corn Earworms,Corn Earworms,0.2109375,오류
Western Corn Rootworms,Image_119.jpg,a photo of egg Colorado Potato Beetles,Colorado Potato Beetles,0.2314453125,오류
Citrus Canker,Image_2.jpg,a photo of Citrus Canker,Citrus Canker,0.984375,정확
Citrus Canker,Image_3.jpg,a photo of pupa Spider Mites,Spider Mites,0.142578125,오류
Citrus Canker,Image_4.png,a photo of pupa Spider Mites,Spider Mites,0.287109375,오류
Citrus Canker,Image_5.jpg,a photo of Citrus Canker,Citrus Canker,0.30078125,정확
Citrus Canker,Image_6.jpg,a photo of Citrus Canker,Citrus Canker,0.36328125,정확
Citrus Canker,Image_7.jpg,a photo of Citrus Canker,Citrus Canker,0.83984375,정확
Citrus Canker,Image_9.jpg,a photo of Citrus Canker,Citrus Canker,0.8828125,정확
Citrus Canker,Image_10.jpg,a photo of egg Spider Mites,Spider Mites,0.56640625,오류
Citrus Canker,Image_11.jpg,a photo of Citrus Canker,Citrus Canker,0.61328125,정확
Citrus Canker,Image_12.jpg,a photo of Citrus Canker,Citrus Canker,0.6640625,정확
Citrus Canker,Image_13.jpg,a photo of Citrus Canker,Citrus Canker,0.9453125,정확
Citrus Canker,Image_14.jpg,a photo of adult Spider Mites,Spider Mites,0.220703125,오류
Citrus Canker,Image_15.jpg,a photo of Citrus Canker,Citrus Canker,0.72265625,정확
Citrus Canker,Image_16.jpg,a photo of Citrus Canker,Citrus Canker,0.54296875,정확
Citrus Canker,Image_17.jpg,a photo of Citrus Canker,Citrus Canker,0.22265625,정확
Citrus Canker,Image_18.jpg,a photo of Citrus Canker,Citrus Canker,0.384765625,정확
Citrus Canker,Image_19.jpg,a photo of Citrus Canker,Citrus Canker,0.4296875,정확
Citrus Canker,Image_20.jpg,a photo of Citrus Canker,Citrus Canker,0.796875,정확
Citrus Canker,Image_21.jpg,a photo of Citrus Canker,Citrus Canker,0.95703125,정확
Citrus Canker,Image_22.jpg,a photo of adult Spider Mites,Spider Mites,0.404296875,오류
Citrus Canker,Image_23.jpg,a photo of Citrus Canker,Citrus Canker,0.2578125,정확
Citrus Canker,Image_24.jpg,a photo of adult Spider Mites,Spider Mites,0.333984375,오류
Citrus Canker,Image_25.jpg,a photo of egg Spider Mites,Spider Mites,0.2412109375,오류
Citrus Canker,Image_26.jpg,a photo of Citrus Canker,Citrus Canker,0.5234375,정확
Citrus Canker,Image_27.jpg,a photo of Citrus Canker,Citrus Canker,0.33203125,정확
Citrus Canker,Image_28.jpg,a photo of Citrus Canker,Citrus Canker,0.318359375,정확
Citrus Canker,Image_29.jpg,a photo of Citrus Canker,Citrus Canker,0.28515625,정확
Citrus Canker,Image_30.jpg,a photo of Citrus Canker,Citrus Canker,0.1826171875,정확
Citrus Canker,Image_31.jpg,a photo of larva Spider Mites,Spider Mites,0.1875,오류
Citrus Canker,Image_32.jpg,a photo of Citrus Canker,Citrus Canker,0.5390625,정확
Citrus Canker,Image_33.jpg,a photo of pupa Spider Mites,Spider Mites,0.34375,오류
Citrus Canker,Image_34.jpg,a photo of Citrus Canker,Citrus Canker,0.357421875,정확
Citrus Canker,Image_36.jpg,a photo of Citrus Canker,Citrus Canker,0.94921875,정확
Citrus Canker,Image_37.png,a photo of adult Spider Mites,Spider Mites,0.3515625,오류
Citrus Canker,Image_38.jpg,a photo of Citrus Canker,Citrus Canker,0.255859375,정확
Citrus Canker,Image_39.jpg,a photo of adult Spider Mites,Spider Mites,0.376953125,오류
Citrus Canker,Image_40.jpg,a photo of Citrus Canker,Citrus Canker,0.65625,정확
Citrus Canker,Image_41.jpg,a photo of Citrus Canker,Citrus Canker,0.6484375,정확
Citrus Canker,Image_42.jpg,a photo of pupa Spider Mites,Spider Mites,0.341796875,오류
Citrus Canker,Image_43.jpg,a photo of Citrus Canker,Citrus Canker,0.56640625,정확
Citrus Canker,Image_44.jpg,a photo of Citrus Canker,Citrus Canker,0.14453125,정확
Citrus Canker,Image_45.png,a photo of pupa Spider Mites,Spider Mites,0.255859375,오류
Citrus Canker,Image_46.jpg,a photo of Citrus Canker,Citrus Canker,0.609375,정확
Citrus Canker,Image_47.jpg,a photo of Citrus Canker,Citrus Canker,0.34765625,정확
Citrus Canker,Image_48.jpg,a photo of Citrus Canker,Citrus Canker,0.6953125,정확
Citrus Canker,Image_49.jpg,a photo of egg Aphids,Aphids,0.279296875,오류
Citrus Canker,Image_50.jpg,a photo of pupa Aphids,Aphids,0.3046875,오류
Citrus Canker,Image_51.jpg,a photo of Citrus Canker,Citrus Canker,0.5703125,정확
Citrus Canker,Image_52.jpg,a photo of pupa Spider Mites,Spider Mites,0.3828125,오류
Citrus Canker,Image_53.jpg,a photo of Citrus Canker,Citrus Canker,0.6953125,정확
Citrus Canker,Image_54.jpg,a photo of Citrus Canker,Citrus Canker,0.4296875,정확
Citrus Canker,Image_55.jpg,a photo of egg Spider Mites,Spider Mites,0.130859375,오류
Citrus Canker,Image_56.jpg,a photo of Citrus Canker,Citrus Canker,0.83984375,정확
Citrus Canker,Image_57.jpg,a photo of pupa Spider Mites,Spider Mites,0.2099609375,오류
Citrus Canker,Image_58.jpg,a photo of Citrus Canker,Citrus Canker,0.6328125,정확
Citrus Canker,Image_59.jpg,a photo of Citrus Canker,Citrus Canker,0.2041015625,정확
Citrus Canker,Image_60.jpg,a photo of Citrus Canker,Citrus Canker,0.98828125,정확
Citrus Canker,Image_61.jpg,a photo of Citrus Canker,Citrus Canker,0.91015625,정확
Citrus Canker,Image_62.jpg,a photo of Citrus Canker,Citrus Canker,0.365234375,정확
Citrus Canker,Image_63.jpg,a photo of Citrus Canker,Citrus Canker,0.201171875,정확
Citrus Canker,Image_64.jpg,a photo of Citrus Canker,Citrus Canker,0.318359375,정확
Citrus Canker,Image_65.jpg,a photo of Citrus Canker,Citrus Canker,0.98046875,정확
Citrus Canker,Image_66.jpg,a photo of Citrus Canker,Citrus Canker,0.60546875,정확
Citrus Canker,Image_67.jpg,a photo of Citrus Canker,Citrus Canker,0.828125,정확
Citrus Canker,Image_68.jpg,a photo of Citrus Canker,Citrus Canker,0.98828125,정확
Citrus Canker,Image_69.jpg,a photo of egg Spider Mites,Spider Mites,0.546875,오류
Citrus Canker,Image_70.jpg,a photo of Citrus Canker,Citrus Canker,0.515625,정확
Citrus Canker,Image_71.jpg,a photo of adult Spider Mites,Spider Mites,0.2578125,오류
Citrus Canker,Image_72.jpg,a photo of egg Spider Mites,Spider Mites,0.2470703125,오류
Citrus Canker,Image_73.jpg,a photo of Citrus Canker,Citrus Canker,0.55078125,정확
Citrus Canker,Image_74.jpg,a photo of Citrus Canker,Citrus Canker,0.419921875,정확
Citrus Canker,Image_75.jpg,a photo of Citrus Canker,Citrus Canker,0.64453125,정확
Citrus Canker,Image_76.jpg,a photo of Citrus Canker,Citrus Canker,0.78125,정확
Citrus Canker,Image_78.jpg,a photo of adult Spider Mites,Spider Mites,0.310546875,오류
Citrus Canker,Image_79.jpg,a photo of adult Spider Mites,Spider Mites,0.3046875,오류
Citrus Canker,Image_80.jpg,a photo of Citrus Canker,Citrus Canker,0.51171875,정확
Citrus Canker,Image_82.jpg,a photo of egg Spider Mites,Spider Mites,0.318359375,오류
Citrus Canker,Image_84.jpg,a photo of Citrus Canker,Citrus Canker,0.7109375,정확
Citrus Canker,Image_86.jpg,a photo of Citrus Canker,Citrus Canker,0.234375,정확
Citrus Canker,Image_87.jpg,a photo of Citrus Canker,Citrus Canker,0.375,정확
Citrus Canker,Image_89.jpg,a photo of egg Fruit Flies,Fruit Flies,0.416015625,오류
Citrus Canker,Image_90.jpg,a photo of larva Spider Mites,Spider Mites,0.27734375,오류
Citrus Canker,Image_91.jpg,a photo of Citrus Canker,Citrus Canker,0.55859375,정확
Citrus Canker,Image_93.jpg,a photo of Citrus Canker,Citrus Canker,0.80078125,정확
Citrus Canker,Image_94.jpg,a photo of egg Spider Mites,Spider Mites,0.271484375,오류
Citrus Canker,Image_95.jpg,a photo of Citrus Canker,Citrus Canker,0.58203125,정확
Citrus Canker,Image_96.jpg,a photo of pupa Spider Mites,Spider Mites,0.28125,오류
Citrus Canker,Image_97.jpg,a photo of Citrus Canker,Citrus Canker,0.62890625,정확
Citrus Canker,Image_100.jpg,a photo of Citrus Canker,Citrus Canker,0.373046875,정확
Citrus Canker,Image_102.jpg,a photo of adult Spider Mites,Spider Mites,0.34375,오류
Citrus Canker,Image_104.jpg,a photo of pupa Spider Mites,Spider Mites,0.349609375,오류
Citrus Canker,Image_105.jpg,a photo of Citrus Canker,Citrus Canker,0.46875,정확
Citrus Canker,Image_107.jpg,a photo of Citrus Canker,Citrus Canker,0.8125,정확
Citrus Canker,Image_108.jpg,a photo of adult Spider Mites,Spider Mites,0.5625,오류
Citrus Canker,Image_110.jpg,a photo of egg Corn Borers,Corn Borers,0.1572265625,오류
Citrus Canker,Image_112.jpg,a photo of egg Spider Mites,Spider Mites,0.34765625,오류
Citrus Canker,Image_113.jpg,a photo of Citrus Canker,Citrus Canker,0.2578125,정확
Citrus Canker,Image_114.jpg,a photo of larva Cabbage Loopers,Cabbage Loopers,0.353515625,오류
Citrus Canker,Image_115.jpg,a photo of Citrus Canker,Citrus Canker,0.80078125,정확
Citrus Canker,Image_116.jpg,a photo of Citrus Canker,Citrus Canker,0.412109375,정확
Citrus Canker,Image_117.jpg,a photo of egg Aphids,Aphids,0.1552734375,오류
Citrus Canker,Image_118.jpg,a photo of pupa Spider Mites,Spider Mites,0.287109375,오류
Citrus Canker,Image_119.jpg,a photo of Citrus Canker,Citrus Canker,0.14453125,정확
Citrus Canker,Image_120.jpg,a photo of egg Spider Mites,Spider Mites,0.27734375,오류
Fruit Flies,Image_1.jpg,a photo of egg Corn Borers,Corn Borers,0.1806640625,오류
Fruit Flies,Image_2.jpg,a photo of egg Fruit Flies,Fruit Flies,0.57421875,정확
Fruit Flies,Image_3.jpg,a photo of adult Fruit Flies,Fruit Flies,0.69921875,정확
Fruit Flies,Image_4.jpg,a photo of adult Fruit Flies,Fruit Flies,0.24609375,정확
Fruit Flies,Image_5.jpg,a photo of adult Fruit Flies,Fruit Flies,0.546875,정확
Fruit Flies,Image_6.jpg,a photo of egg Fruit Flies,Fruit Flies,0.78125,정확
Fruit Flies,Image_7.jpg,a photo of egg Fruit Flies,Fruit Flies,0.388671875,정확
Fruit Flies,Image_8.jpg,a photo of adult Fruit Flies,Fruit Flies,0.408203125,정확
Fruit Flies,Image_9.jpg,a photo of egg Fruit Flies,Fruit Flies,0.4453125,정확
Fruit Flies,Image_10.jpg,a photo of larva Aphids,Aphids,0.1357421875,오류
Fruit Flies,Image_11.jpg,a photo of adult Thrips,Thrips,0.404296875,오류
Fruit Flies,Image_12.jpg,a photo of egg Fruit Flies,Fruit Flies,0.326171875,정확
Fruit Flies,Image_13.jpg,a photo of adult Fruit Flies,Fruit Flies,0.59765625,정확
Fruit Flies,Image_14.JPG,a photo of adult Fruit Flies,Fruit Flies,0.52734375,정확
Fruit Flies,Image_15.jpg,a photo of adult Fruit Flies,Fruit Flies,0.67578125,정확
Fruit Flies,Image_16.jpg,a photo of egg Fruit Flies,Fruit Flies,0.27734375,정확
Fruit Flies,Image_17.jpg,a photo of egg Fruit Flies,Fruit Flies,0.1748046875,정확
Fruit Flies,Image_18.jpg,a photo of pupa Aphids,Aphids,0.11962890625,오류
Fruit Flies,Image_19.png,a photo of adult Fruit Flies,Fruit Flies,0.423828125,정확
Fruit Flies,Image_21.jpg,a photo of egg Fruit Flies,Fruit Flies,0.2236328125,정확
Fruit Flies,Image_22.jpg,a photo of pupa Fruit Flies,Fruit Flies,0.15625,정확
Fruit Flies,Image_23.jpg,a photo of egg Corn Borers,Corn Borers,0.166015625,오류
Fruit Flies,Image_24.jpg,a photo of adult Fruit Flies,Fruit Flies,0.333984375,정확
Fruit Flies,Image_26.jpg,a photo of pupa Aphids,Aphids,0.08056640625,오류
Fruit Flies,Image_27.jpeg,a photo of egg Fruit Flies,Fruit Flies,0.77734375,정확
Fruit Flies,Image_28.JPG,a photo of adult Fruit Flies,Fruit Flies,0.5,정확
Fruit Flies,Image_29.jpg,a photo of adult Fruit Flies,Fruit Flies,0.486328125,정확
Fruit Flies,Image_30.jpg,a photo of adult Fruit Flies,Fruit Flies,0.1396484375,정확
Fruit Flies,Image_31.jpg,a photo of egg Corn Borers,Corn Borers,0.232421875,오류
Fruit Flies,Image_32.jpg,a photo of adult Corn Borers,Corn Borers,0.130859375,오류
Fruit Flies,Image_33.jpg,a photo of adult Fruit Flies,Fruit Flies,0.330078125,정확
Fruit Flies,Image_34.JPG,a photo of pupa Aphids,Aphids,0.45703125,오류
Fruit Flies,Image_35.jpg,a photo of adult Fruit Flies,Fruit Flies,0.609375,정확
Fruit Flies,Image_36.jpg,a photo of egg Fruit Flies,Fruit Flies,0.294921875,정확
Fruit Flies,Image_37.jpg,a photo of egg Fruit Flies,Fruit Flies,0.796875,정확
Fruit Flies,Image_38.jpg,a photo of egg Corn Borers,Corn Borers,0.158203125,오류
Fruit Flies,Image_39.jpg,a photo of adult Fruit Flies,Fruit Flies,0.53125,정확
Fruit Flies,Image_40.jpg,a photo of pupa Fruit Flies,Fruit Flies,0.4453125,정확
Fruit Flies,Image_42.jpg,a photo of adult Fruit Flies,Fruit Flies,0.640625,정확
Fruit Flies,Image_44.jpg,a photo of adult Fruit Flies,Fruit Flies,0.396484375,정확
Fruit Flies,Image_45.jpg,a photo of egg Western Corn Rootworms,Western Corn Rootworms,0.328125,오류
Fruit Flies,Image_46.jpg,a photo of adult Fruit Flies,Fruit Flies,0.30859375,정확
Fruit Flies,Image_48.jpg,a photo of adult Fruit Flies,Fruit Flies,0.54296875,정확
Fruit Flies,Image_49.jpg,a photo of egg Fruit Flies,Fruit Flies,0.37109375,정확
Fruit Flies,Image_50.jpg,a photo of adult Fruit Flies,Fruit Flies,0.36328125,정확
Fruit Flies,Image_53.jpg,a photo of adult Fruit Flies,Fruit Flies,0.2470703125,정확
Fruit Flies,Image_54.png,a photo of pupa Brown Marmorated Stink Bugs,Brown Marmorated Stink Bugs,0.1845703125,오류
Fruit Flies,Image_55.jpg,a photo of adult Fruit Flies,Fruit Flies,0.54296875,정확
Fruit Flies,Image_56.jpg,a photo of adult Fruit Flies,Fruit Flies,0.375,정확
Fruit Flies,Image_59.jpg,a photo of adult Fruit Flies,Fruit Flies,0.515625,정확
Fruit Flies,Image_60.jpg,a photo of egg Fruit Flies,Fruit Flies,0.349609375,정확
Fruit Flies,Image_61.jpg,a photo of adult Thrips,Thrips,0.55078125,오류
Fruit Flies,Image_62.jpg,a photo of egg Fruit Flies,Fruit Flies,0.43359375,정확
Fruit Flies,Image_63.jpg,a photo of adult Fruit Flies,Fruit Flies,0.462890625,정확
Fruit Flies,Image_64.jpg,a photo of adult Fruit Flies,Fruit Flies,0.298828125,정확
Fruit Flies,Image_65.jpg,a photo of adult Fruit Flies,Fruit Flies,0.41015625,정확
Fruit Flies,Image_67.jpg,a photo of adult Fruit Flies,Fruit Flies,0.451171875,정확
Fruit Flies,Image_70.jpg,a photo of pupa Fruit Flies,Fruit Flies,0.1064453125,정확
Fruit Flies,Image_71.jpg,a photo of adult Fruit Flies,Fruit Flies,0.421875,정확
Fruit Flies,Image_72.jpg,a photo of adult Fruit Flies,Fruit Flies,0.60546875,정확
Fruit Flies,Image_73.jpg,a photo of egg Fruit Flies,Fruit Flies,0.474609375,정확
Fruit Flies,Image_74.jpg,a photo of adult Fruit Flies,Fruit Flies,0.6171875,정확
Fruit Flies,Image_75.jpg,a photo of adult Fruit Flies,Fruit Flies,0.337890625,정확
Fruit Flies,Image_76.png,a photo of pupa Fruit Flies,Fruit Flies,0.46875,정확
Fruit Flies,Image_77.jpg,a photo of adult Fruit Flies,Fruit Flies,0.2451171875,정확
Fruit Flies,Image_79.jpg,a photo of pupa Fruit Flies,Fruit Flies,0.482421875,정확
Fruit Flies,Image_80.jpg,a photo of pupa Fruit Flies,Fruit Flies,0.400390625,정확
Fruit Flies,Image_81.jpg,a photo of egg Fruit Flies,Fruit Flies,0.85546875,정확
Fruit Flies,Image_82.jpg,a photo of adult Fruit Flies,Fruit Flies,0.400390625,정확
Fruit Flies,Image_83.png,a photo of egg Fruit Flies,Fruit Flies,0.53515625,정확
Fruit Flies,Image_84.jpg,a photo of adult Fruit Flies,Fruit Flies,0.57421875,정확
Fruit Flies,Image_85.jpg,a photo of egg Corn Borers,Corn Borers,0.173828125,오류
Fruit Flies,Image_86.jpg,a photo of pupa Fruit Flies,Fruit Flies,0.46484375,정확
Fruit Flies,Image_87.jpg,a photo of egg Fruit Flies,Fruit Flies,0.69140625,정확
Fruit Flies,Image_88.jpg,a photo of adult Fruit Flies,Fruit Flies,0.23828125,정확
Fruit Flies,Image_89.jpg,a photo of egg Fruit Flies,Fruit Flies,0.39453125,정확
Fruit Flies,Image_90.jpg,a photo of adult Fruit Flies,Fruit Flies,0.75390625,정확
Fruit Flies,Image_91.jpg,a photo of adult Fruit Flies,Fruit Flies,0.76953125,정확
Fruit Flies,Image_92.jpg,a photo of egg Africanized Honey Bees (Killer Bees),Africanized Honey Bees (Killer Bees),0.333984375,오류
Fruit Flies,Image_94.jpg,a photo of egg Fruit Flies,Fruit Flies,0.30859375,정확
Fruit Flies,Image_95.jpg,a photo of adult Fruit Flies,Fruit Flies,0.1923828125,정확
